uri,duration
spotify:track:3jFfr89lnSmb4QBtfG8JBP,187120
spotify:track:09TTeexnlKewZdjOak2sV2,292573
spotify:track:0G3fbPbE1vGeABDEZF0jeG,495400
spotify:track:1NXvuBAq48QrxRFQZVmORQ,430960
spotify:track:2gYJY0sIx1ErgTIha2nPRg,214848
spotify:track:0njXuAkJVSpptzKniMBtIZ,405499
spotify:track:7Kszjzps0xbQXyo1pO4KfE,331360
spotify:track:39KmBOGkD1ztCbVeo2uspA,277560
spotify:track:0UAEHlFR79k9CJvknSGUNf,215040
spotify:track:1sWeSMifj6Z6kZyI6z3bRc,171040
spotify:track:0nLiqZ6A27jJri2VCalIUs,388266
spotify:track:1Ig4pCPanhzXl7C86MmBUc,161133
spotify:track:0WtDGnWL2KrMCk0mI1Gpwz,326933
spotify:track:326HJ8o8XJff8dSZOwe4GS,288586
spotify:track:1bSpwPhAxZwlR2enJJsv7U,229120
spotify:track:5luOvrlnzfvJQdQjrScVj4,249500
spotify:track:1SJtlNRJDeYHioymcvsqev,216391
spotify:track:06pjQCIybMiGrgtHODGa2m,225906
spotify:track:6eJlEcRmeyQfTlDQBDyqkW,156680
spotify:track:6A64S6NPQwA5KIQ0tQuEJR,280040
spotify:track:2PKkCGoCc4idF91R6RvFEN,212560
spotify:track:6ztstiyZL6FXzh4aG46ZPD,288293
spotify:track:1Ft13La2daEGqz5yWJC7lx,197120
spotify:track:6O20JhBJPePEkBdrB5sqRx,225146
spotify:track:1jH0gTCfeCuaRp8R7ZrYAy,188546
spotify:track:61w1Ry5X8UUsbNoPG7zRP1,146973
spotify:track:6TesHoNPZGdcVjllhAuKJh,184242
spotify:track:2Y0qo82mxQWaWFgpAylEqh,307266
spotify:track:6vRtwdSMrUQkdC6Db1sTmK,121038
spotify:track:4BzQlAd7QUdqRydbEnO5R5,285093
spotify:track:027NtsXW0vpDFhzxsJKmTL,256190
spotify:track:1GcVa4jFySlun4jLSuMhiq,272000
spotify:track:2TjdnqlpwOjhijHCwHCP2d,283872
spotify:track:6AEs2ArvpuFlCQrVwYauzo,158500
spotify:track:40dJCw4xU6Bd5ie9rfagNo,251480
spotify:track:5L4iwTXzuuWcV0m0sEDrgj,178464
spotify:track:7N3PAbqfTjSEU1edb2tY8j,241599
