master_metadata_album_artist_name,artist_genre,macro_genre
Big Time Rush,unknown,unknown
Soda Stereo,rock en español,Pop/Rock
CHIC,disco,unknown
Los Piojos,argentine rock,Pop/Rock
Ekko Park,unknown,unknown
Dazoneman,unknown,unknown
Callejeros,argentine rock,Pop/Rock
Technotronic,eurodance,unknown
Imagine Dragons,unknown,unknown
Metallica,metal,unknown
Pappo,argentine rock,Pop/Rock
Childish Gambino,unknown,unknown
Fito Paez,argentine rock,Pop/Rock
Radiohead,art rock,Pop/Rock
Opus,unknown,unknown
Camila Cabello,unknown,unknown
Luis Alberto Spinetta,argentine rock,Pop/Rock
Sam & Dave,motown,unknown
Blues Traveler,unknown,unknown
Bersuit Vergarabat,argentine rock,Pop/Rock
"Earth, Wind & Fire",disco,unknown
Wolfine,reggaeton,Urban
Rihanna,unknown,unknown
La Portuaria,argentine rock,Pop/Rock
Wilson Pickett,motown,unknown
Dillom,argentine trap,Urban
The Andrew Allen Trio,unknown,unknown
John C,argentine trap,Urban
Los Rodriguez,latin rock,Pop/Rock
Ciro y los Persas,argentine rock,Pop/Rock
The Rolling Stones,classic rock,Pop/Rock
Pink Floyd,progressive rock,Pop/Rock
Scary Pockets,retro soul,Otros
Tears For Fears,new wave,Pop/Rock
Marka Akme,cumbia,Regional
Van Halen,glam metal,unknown
Las Pelotas,argentine rock,Pop/Rock
Maluma,reggaeton,Urban
Mountain,classic rock,Pop/Rock
The Chainsmokers,unknown,unknown
La Zimbabwe,argentine rock,Pop/Rock
Duki,argentine trap,Urban
blackbear,unknown,unknown
Fabiana Cantilo,argentine rock,Pop/Rock
insaneintherainmusic,jazz,Otros
Bob Marley & The Wailers,reggae,unknown
Bastille,unknown,unknown
Sui Generis,argentine rock,Pop/Rock
Lil Nas X,unknown,unknown
AC/DC,rock,Pop/Rock
Talking Heads,new wave,Pop/Rock
Maroon 5,pop,Pop/Rock
Elijah Kelley,musicals,unknown
Red Hot Chili Peppers,funk rock,Pop/Rock
Jamiroquai,acid jazz,Electronica
Peter Gabriel,art rock,Pop/Rock
Joe Satriani,unknown,unknown
Cotton Eyed Joe,traditional country,Otros
Daft Punk,french house,Electronica
YSY A,argentine trap,Urban
Tiësto,edm,Electronica
WOS,argentine trap,Urban
Walk off the Earth,unknown,unknown
Miami Sound Machine,unknown,unknown
La Mosca Tse-Tse,,unknown
Chano,argentine rock,Pop/Rock
R.E.M.,jangle pop,Pop/Rock
James Brown,soul,Otros
Journey,album rock,Pop/Rock
Coldplay,unknown,unknown
Calvin Harris,edm,Electronica
Crowded House,unknown,unknown
Duran Duran,new wave,Pop/Rock
MF DOOM,experimental hip hop,Urban
Queen,classic rock,Pop/Rock
Los Nota Lokos,rkt,unknown
Breakbot,french house,Electronica
