master_metadata_album_artist_name,artist_genre
Big Time Rush,unknown
Soda Stereo,rock en español
CHIC,disco
Los Piojos,argentine rock
Ekko Park,unknown
Dazoneman,unknown
Callejeros,argentine rock
Technotronic,eurodance
Imagine Dragons,unknown
Metallica,metal
Pappo,argentine rock
Childish Gambino,unknown
Fito Paez,argentine rock
Radiohead,art rock
Opus,unknown
Camila Cabello,unknown
Luis Alberto Spinetta,argentine rock
Sam & Dave,motown
Blues Traveler,unknown
Bersuit Vergarabat,argentine rock
"Earth, Wind & Fire",disco
Wolfine,reggaeton
Rihanna,unknown
La Portuaria,argentine rock
Wilson Pickett,motown
Dillom,argentine trap
The Andrew Allen Trio,unknown
John C,argentine trap
Los Rodriguez,latin rock
Ciro y los Persas,argentine rock
The Rolling Stones,classic rock
Pink Floyd,progressive rock
Scary Pockets,retro soul
Tears For Fears,new wave
Marka Akme,cumbia
Van Halen,glam metal
Las Pelotas,argentine rock
Maluma,reggaeton
Mountain,classic rock
The Chainsmokers,unknown
La Zimbabwe,argentine rock
Duki,argentine trap
blackbear,unknown
Fabiana Cantilo,argentine rock
insaneintherainmusic,jazz
Bob Marley & The Wailers,reggae
Bastille,unknown
Sui Generis,argentine rock
Lil Nas X,unknown
AC/DC,rock
Talking Heads,new wave
Maroon 5,pop
Elijah Kelley,musicals
Red Hot Chili Peppers,funk rock
Jamiroquai,acid jazz
Peter Gabriel,art rock
Joe Satriani,unknown
Cotton Eyed Joe,traditional country
Daft Punk,french house
YSY A,argentine trap
Tiësto,edm
WOS,argentine trap
Walk off the Earth,unknown
Miami Sound Machine,unknown
La Mosca Tse-Tse,
Chano,argentine rock
R.E.M.,jangle pop
James Brown,soul
Journey,album rock
Coldplay,unknown
Calvin Harris,edm
Crowded House,unknown
Duran Duran,new wave
MF DOOM,experimental hip hop
Queen,classic rock
Los Nota Lokos,rkt
Breakbot,french house
Duke Ellington,jazz
Mac Miller,unknown
Mark Ronson,unknown
Drake,rap
Bruno Mars,unknown
Serú Girán,argentine rock
maxi,unknown
Sia,unknown
Metronomy,new rave
La Beriso,argentine rock
Aerosmith,classic rock
Virus,latin rock
Andrés Calamaro,argentine rock
FKJ,unknown
weird inside,lo-fi
1nonly,phonk
Dua Lipa,pop
Michael Jackson,unknown
Dance Fruits Music,deep house
Jimi Hendrix,psychedelic rock
Pescado Rabioso,argentine rock
"Tyler, The Creator",unknown
Charly García,argentine rock
Vulfpeck,funk rock
Thalia,latin pop
Polyphia,math rock
Allman Brothers Band,southern rock
Tina Turner,unknown
Green Day,punk
Bizarrap,argentine trap
Katrina & The Waves,unknown
Britney Spears,pop
Camille,french jazz
San Holo,future bass
Redbone,unknown
Dexter Gordon,hard bop
Troy,unknown
ABBA,unknown
Los Fabulosos Cadillacs,rock en español
The Beatles,classic rock
RŮDE,lo-fi
The Alan Parsons Project,symphonic rock
Pharrell Williams,unknown
Guns N' Roses,rock
TOTO,soft rock
