ts,ts_anterior,diferencia,mins,is_early_finish,TARGET
2014-06-27 18:01:16+00:00,0,0,0,0.0,True
2014-06-29 20:10:10+00:00,2014-06-27 18:01:16+00:00,2 days 02:08:54,0 days 00:06:25.880000,0.0,True
2014-06-29 20:10:54+00:00,2014-06-29 20:10:10+00:00,0 days 00:00:44,0 days 00:05:48.624000,1.0,True
2014-06-29 20:11:16+00:00,2014-06-29 20:10:54+00:00,0 days 00:00:22,0 days 00:02:20.773000,1.0,True
2014-09-04 21:46:24+00:00,2014-06-29 20:11:16+00:00,67 days 01:35:08,0 days 00:02:20.733000,0.0,True
2014-09-04 21:46:32+00:00,2014-09-04 21:46:24+00:00,0 days 00:00:08,0 days 00:06:00.146000,0.0,True
2014-09-04 21:48:51+00:00,2014-09-04 21:46:32+00:00,0 days 00:02:19,0 days 00:05:32.360000,0.0,True
2016-06-23 21:07:13+00:00,2014-09-04 21:48:51+00:00,657 days 23:18:22,0,0.0,True
2016-06-23 21:07:36+00:00,2016-06-23 21:07:13+00:00,0 days 00:00:23,0,0.0,True
2016-06-23 21:07:40+00:00,2016-06-23 21:07:36+00:00,0 days 00:00:04,0,0.0,True
2016-06-23 21:07:51+00:00,2016-06-23 21:07:40+00:00,0 days 00:00:11,0,0.0,True
2016-06-23 21:07:53+00:00,2016-06-23 21:07:51+00:00,0 days 00:00:02,0,0.0,True
2016-06-23 21:07:54+00:00,2016-06-23 21:07:53+00:00,0 days 00:00:01,0,0.0,True
2016-06-23 21:07:55+00:00,2016-06-23 21:07:54+00:00,0 days 00:00:01,0,0.0,True
2016-06-23 21:11:27+00:00,2016-06-23 21:07:55+00:00,0 days 00:03:32,0,0.0,True
2016-06-23 21:11:29+00:00,2016-06-23 21:11:27+00:00,0 days 00:00:02,0,0.0,True
2016-06-23 21:11:31+00:00,2016-06-23 21:11:29+00:00,0 days 00:00:02,0,0.0,True
2016-06-23 21:11:31+00:00,2016-06-23 21:11:31+00:00,0 days 00:00:00,0,0.0,True
2016-06-23 21:11:33+00:00,2016-06-23 21:11:31+00:00,0 days 00:00:02,0,0.0,True
2016-06-23 21:11:43+00:00,2016-06-23 21:11:33+00:00,0 days 00:00:10,0,0.0,True
2016-06-23 21:13:11+00:00,2016-06-23 21:11:43+00:00,0 days 00:01:28,0,0.0,True
2016-06-23 22:23:36+00:00,2016-06-23 21:13:11+00:00,0 days 01:10:25,0,0.0,False
2016-06-24 01:10:47+00:00,2016-06-23 22:23:36+00:00,0 days 02:47:11,0,0.0,False
2016-12-31 01:10:16+00:00,2016-06-24 01:10:47+00:00,189 days 23:59:29,0 days 00:06:44.253000,0.0,False
2017-01-09 07:26:46+00:00,2016-12-31 01:10:16+00:00,9 days 06:16:30,0 days 00:04:55.386000,0.0,False
2017-01-09 07:26:47+00:00,2017-01-09 07:26:46+00:00,0 days 00:00:01,0 days 00:03:40.560000,1.0,False
2017-01-09 07:26:48+00:00,2017-01-09 07:26:47+00:00,0 days 00:00:01,0 days 00:05:51.677000,1.0,False
2017-01-09 07:27:00+00:00,2017-01-09 07:26:48+00:00,0 days 00:00:12,0 days 00:08:02.830000,1.0,False
2017-01-09 07:27:02+00:00,2017-01-09 07:27:00+00:00,0 days 00:00:02,0 days 00:03:39.680000,0.0,False
2017-01-09 17:09:30+00:00,2017-01-09 07:27:02+00:00,0 days 09:42:28,0 days 00:03:40.560000,0.0,False
2017-01-09 17:09:32+00:00,2017-01-09 17:09:30+00:00,0 days 00:00:02,0 days 00:04:38.907000,0.0,False
2017-01-09 17:09:34+00:00,2017-01-09 17:09:32+00:00,0 days 00:00:02,0 days 00:03:32.160000,0.0,False
2017-01-09 17:09:35+00:00,2017-01-09 17:09:34+00:00,0 days 00:00:01,0 days 00:07:08.851000,0.0,False
2017-01-09 20:05:44+00:00,2017-01-09 17:09:35+00:00,0 days 02:56:09,0 days 00:08:03.666000,0.0,False
2017-01-10 00:32:50+00:00,2017-01-09 20:05:44+00:00,0 days 04:27:06,0 days 00:06:44.253000,0.0,False
2017-01-10 00:33:36+00:00,2017-01-10 00:32:50+00:00,0 days 00:00:46,0 days 00:05:01.586000,0.0,False
2017-01-10 01:24:26+00:00,2017-01-10 00:33:36+00:00,0 days 00:50:50,0 days 00:04:28.200000,0.0,False
2017-01-10 01:38:27+00:00,2017-01-10 01:24:26+00:00,0 days 00:14:01,0 days 00:04:28.200000,0.0,False
2017-01-10 01:38:28+00:00,2017-01-10 01:38:27+00:00,0 days 00:00:01,0 days 00:05:01.586000,0.0,False
2017-01-10 01:38:35+00:00,2017-01-10 01:38:28+00:00,0 days 00:00:07,0 days 00:04:08.426000,0.0,False
2017-01-10 01:38:39+00:00,2017-01-10 01:38:35+00:00,0 days 00:00:04,0 days 00:03:20.600000,0.0,False
2017-01-10 01:38:44+00:00,2017-01-10 01:38:39+00:00,0 days 00:00:05,0 days 00:02:50.293000,0.0,False
2017-01-10 01:38:46+00:00,2017-01-10 01:38:44+00:00,0 days 00:00:02,0 days 00:02:16.200000,0.0,False
2017-01-10 01:38:49+00:00,2017-01-10 01:38:46+00:00,0 days 00:00:03,0 days 00:03:54.826000,0.0,False
2017-01-10 01:38:51+00:00,2017-01-10 01:38:49+00:00,0 days 00:00:02,0 days 00:16:59.573000,0.0,False
2017-01-10 01:38:55+00:00,2017-01-10 01:38:51+00:00,0 days 00:00:04,0 days 00:04:27.240000,0.0,False
2017-01-10 01:39:28+00:00,2017-01-10 01:38:55+00:00,0 days 00:00:33,0 days 00:08:44.893000,0.0,False
2017-01-10 01:39:30+00:00,2017-01-10 01:39:28+00:00,0 days 00:00:02,0 days 00:04:22.746000,0.0,False
2017-01-10 01:39:31+00:00,2017-01-10 01:39:30+00:00,0 days 00:00:01,0 days 00:14:48,0.0,False
2017-01-10 01:39:34+00:00,2017-01-10 01:39:31+00:00,0 days 00:00:03,0 days 00:04:15.853000,0.0,False
2017-01-10 01:39:37+00:00,2017-01-10 01:39:34+00:00,0 days 00:00:03,0 days 00:04:52.813000,0.0,False
2017-01-10 01:39:39+00:00,2017-01-10 01:39:37+00:00,0 days 00:00:02,0 days 00:02:34.053000,0.0,False
2017-01-10 01:40:11+00:00,2017-01-10 01:39:39+00:00,0 days 00:00:32,0 days 00:03:02.973000,0.0,False
2017-01-10 20:51:32+00:00,2017-01-10 01:40:11+00:00,0 days 19:11:21,0 days 00:04:41.426000,0.0,False
2017-01-10 20:52:09+00:00,2017-01-10 20:51:32+00:00,0 days 00:00:37,0 days 00:02:04.546000,0.0,False
2017-01-11 06:43:26+00:00,2017-01-10 20:52:09+00:00,0 days 09:51:17,0 days 00:02:56.066000,0.0,False
2017-01-11 18:10:32+00:00,2017-01-11 06:43:26+00:00,0 days 11:27:06,0 days 00:03:16.800000,0.0,False
2017-01-11 18:18:17+00:00,2017-01-11 18:10:32+00:00,0 days 00:07:45,0 days 00:04:18.173000,0.0,False
2017-01-11 18:22:08+00:00,2017-01-11 18:18:17+00:00,0 days 00:03:51,0,0.0,False
2017-01-11 18:26:50+00:00,2017-01-11 18:22:08+00:00,0 days 00:04:42,0 days 00:04:41.666000,0.0,False
2017-01-12 20:48:27+00:00,2017-01-11 18:26:50+00:00,1 days 02:21:37,0 days 00:03:15.706000,0.0,False
2017-01-12 20:50:18+00:00,2017-01-12 20:48:27+00:00,0 days 00:01:51,0 days 00:03:15.706000,0.0,False
2017-01-12 21:04:56+00:00,2017-01-12 20:50:18+00:00,0 days 00:14:38,0 days 00:03:16.800000,0.0,False
2017-01-12 21:06:34+00:00,2017-01-12 21:04:56+00:00,0 days 00:01:38,0,0.0,False
2017-01-12 21:07:02+00:00,2017-01-12 21:06:34+00:00,0 days 00:00:28,0 days 00:03:25.946000,0.0,False
2017-01-13 18:36:56+00:00,2017-01-12 21:07:02+00:00,0 days 21:29:54,0 days 00:04:07.866000,0.0,False
2017-01-13 18:40:12+00:00,2017-01-13 18:36:56+00:00,0 days 00:03:16,0 days 00:03:16.613000,1.0,False
2017-01-13 18:43:43+00:00,2017-01-13 18:40:12+00:00,0 days 00:03:31,0 days 00:03:15.706000,0.0,False
2017-01-13 18:47:03+00:00,2017-01-13 18:43:43+00:00,0 days 00:03:20,0 days 00:03:16.800000,0.0,False
2017-01-13 18:48:41+00:00,2017-01-13 18:47:03+00:00,0 days 00:01:38,0 days 00:03:31.626000,1.0,False
2017-01-13 18:50:30+00:00,2017-01-13 18:48:41+00:00,0 days 00:01:49,0 days 00:04:17.239000,1.0,False
2017-01-13 18:53:45+00:00,2017-01-13 18:50:30+00:00,0 days 00:03:15,0 days 00:03:15.706000,1.0,False
2017-01-13 18:54:37+00:00,2017-01-13 18:53:45+00:00,0 days 00:00:52,0 days 00:04:18.173000,1.0,False
2017-01-13 18:54:42+00:00,2017-01-13 18:54:37+00:00,0 days 00:00:05,0 days 00:04:01.226000,1.0,False
2017-01-13 19:45:53+00:00,2017-01-13 18:54:42+00:00,0 days 00:51:11,0 days 00:04:04.960000,0.0,False
